certification_course,gender,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,bmi,academic_average
1,Male,BCA,0.9306666666666666,0.5813953488372093,69.0,60.0,68.0,0 - 30 minute,Night,6.0,1,100%,30 - 60 Minute,,,good,0,0.0006073663065475521,0.4862444017914267
1,Male,BCA,0.9733333333333333,0.5232558139534884,85.0,60.0,60.0,30 - 60 minute,Anytime,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0004501601858002266,0.5374280230326294
1,Male,BCA,0.8666666666666666,0.6976744186046512,85.0,72.0,70.0,1 - 2 Hour,Anytime,6.0,0,50%,1.30 - 2 hour,,,Bad,1,0.0009372093471648269,0.6781829814459372
1,Male,BCA,0.8826666666666666,0.34883720930232565,70.0,78.0,75.0,0 - 30 minute,Anytime,6.0,1,75%,More than 2 hour,,,good,0,0.0003880877365871513,0.6525911708253358
1,Female,B.com Accounting and Finance,0.6799999999999999,0.43023255813953487,72.0,75.0,80.0,2 - 3 hour,Night,6.0,1,75%,30 - 60 Minute,,,good,1,0.0011315202648937552,0.6781829814459372
1,Male,BCA,0.8773333333333333,0.7558139534883721,80.0,60.0,68.0,30 - 60 minute,Night,6.0,1,100%,1.30 - 2 hour,,,good,0,0.000989097478509952,0.5566218809980805
1,Male,BCA,0.7759999999999999,0.4651162790697675,60.0,68.1,70.0,30 - 60 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,Bad,1,0.0008398464240007143,0.49328214971209206
1,Male,BCA,0.9359999999999999,0.6395348837209303,84.0,55.0,70.0,30 - 60 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,good,0,0.0006701278311854518,0.563019833653231
1,Female,BCA,0.7973333333333333,0.2906976744186047,72.6,62.6,85.0,0 - 30 minute,Night,6.0,1,100%,30 - 60 Minute,,,good,0,0.00046881007133476763,0.6346769033909148
1,Female,BCA,0.7173333333333333,0.4883720930232558,91.0,86.0,90.0,30 - 60 minute,Morning,6.0,1,75%,1 - 1.30 hour,,,good,0,0.001101418116020164,0.9341010876519513
0,Male,BCA,0.9093333333333333,0.4651162790697675,90.0,65.0,65.0,0 - 30 minute,Anytime,6.0,1,75%,1 - 30 Minute,,,Bad,0,0.0004985862674484359,0.6333973128598847
1,Male,BCA,0.8933333333333333,0.6046511627906976,78.0,67.0,80.0,3 - 4 hour,Anytime,6.0,1,100%,1 - 30 Minute,,,good,0,0.0007274962035540508,0.6653870761356366
1,Male,BCA,0.8826666666666666,0.40697674418604657,91.0,81.0,75.0,30 - 60 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,Bad,0,0.0004715406960847307,0.8061420345489441
0,Male,BCA,0.8826666666666666,0.5232558139534884,82.0,55.0,75.0,30 - 60 minute,Anytime,6.0,1,50%,30 - 60 Minute,,,Bad,0,0.0006384466150798896,0.582213691618682
0,Male,BCA,0.9626666666666666,0.5232558139534884,80.5,53.0,80.0,2 - 3 hour,Morning,6.0,1,75%,1 - 1.30 hour,,,Awful,0,0.0004696509650807678,0.5918106206014075
1,Male,BCA,0.9199999999999999,0.43023255813953487,75.0,57.0,55.0,0 - 30 minute,Morning,6.0,1,50%,1.30 - 2 hour,,,good,0,0.0004311607473782986,0.4222648752399232
0,Male,BCA,0.8826666666666666,0.7674418604651163,75.0,68.0,70.0,0 - 30 minute,Anytime,6.0,1,75%,1 - 1.30 hour,,,good,0,0.0009889490449697229,0.5886116442738323
1,Male,B.com Accounting and Finance,0.9039999999999999,0.5232558139534884,90.0,85.0,82.0,1 - 2 Hour,Anytime,6.0,1,50%,1 - 30 Minute,,,good,0,0.0005891400177918493,0.8701215611004478
1,Male,BCA,0.8666666666666666,0.6046511627906976,85.0,60.0,60.0,2 - 3 hour,Anytime,6.0,1,50%,1 - 30 Minute,,,good,0,0.0007988442266094798,0.5374280230326294
